Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.7745180217937971,0.7745227816937035,0.7745227816937035,0.774511367664665,0.22948074340820312
RandomForestClassifier,0.7661357921207042,0.7661391408946298,0.7661391408946296,0.7661325057409212,0.34909963607788086
BaggingClassifier,0.7544006705783739,0.7543927692152035,0.7543927692152036,0.7543778900305691,0.06141066551208496
KNeighborsClassifier,0.730092204526404,0.7301426033972997,0.7301426033972997,0.7291193086955661,0.04799985885620117
DecisionTreeClassifier,0.7275775356244761,0.7275639944689892,0.7275639944689892,0.7275047798109902,0.015512704849243164
ExtraTreeClassifier,0.7242246437552389,0.7242054792980563,0.7242054792980562,0.724078076936849,0.01034235954284668
LabelPropagation,0.6856663872590109,0.6856710847301384,0.6856710847301384,0.685657111056689,0.2632577419281006
LabelSpreading,0.6814752724224644,0.6814820748035479,0.6814820748035479,0.681455129174807,0.35391712188720703
AdaBoostClassifier,0.6613579212070411,0.6613478466156285,0.6613478466156286,0.6613079467606884,0.14211463928222656
SVC,0.6571668063704945,0.6571630523984576,0.6571630523984575,0.6571595797671619,0.4098639488220215
SGDClassifier,0.6387259010896899,0.6387994221667622,0.6387994221667622,0.6359327681339315,0.017563819885253906
LogisticRegression,0.6370494551550713,0.6370302294470114,0.6370302294470114,0.6368565571843635,0.01584935188293457
LinearSVC,0.6353730092204526,0.6353523770980181,0.635352377098018,0.6351499799344066,0.04252791404724121
RidgeClassifier,0.6353730092204526,0.6353523770980181,0.635352377098018,0.6351499799344066,0.02308034896850586
RidgeClassifierCV,0.6353730092204526,0.6353523770980181,0.635352377098018,0.6351499799344066,0.014706850051879883
LinearDiscriminantAnalysis,0.6353730092204526,0.6353523770980181,0.635352377098018,0.6351499799344066,0.03004908561706543
CalibratedClassifierCV,0.6345347862531433,0.6345190718694143,0.6345190718694141,0.6344048060756271,0.03352808952331543
QuadraticDiscriminantAnalysis,0.6320201173512154,0.6318926849010151,0.6318926849010152,0.6233000430455118,0.02151179313659668
BernoulliNB,0.6102263202011735,0.6103166840915989,0.6103166840915989,0.6056516502784458,0.01200413703918457
GaussianNB,0.6026823134953898,0.602634256292649,0.602634256292649,0.6013680869491802,0.01100015640258789
NuSVC,0.5984911986588433,0.5985112924802986,0.5985112924802987,0.598262001352274,0.485607385635376
NearestCentroid,0.597652975691534,0.5976372353939721,0.5976372353939722,0.5975098782483967,0.011013269424438477
PassiveAggressiveClassifier,0.5917854149203688,0.5918069092666913,0.5918069092666914,0.5915185046443929,0.014515399932861328
Perceptron,0.5322715842414082,0.5323148179375625,0.5323148179375625,0.5310254313875027,0.013447761535644531
DummyClassifier,0.49958088851634536,0.5,0.5,0.33286775802765994,0.007999658584594727
