,Humidity9am,Temp9am,RainToday,RainTomorrow
0,71.0,16.9,0,0
1,44.0,17.2,0,0
2,38.0,21.0,0,0
3,45.0,18.1,0,0
4,82.0,17.8,0,0
5,55.0,20.6,0,0
6,49.0,18.1,0,0
7,48.0,16.3,0,0
8,42.0,18.3,0,1
9,58.0,20.1,1,0
10,48.0,20.4,0,1
11,89.0,15.9,1,1
12,76.0,17.4,1,1
13,65.0,15.8,1,0
16,69.0,17.2,0,1
17,80.0,18.0,1,1
18,47.0,15.5,1,0
19,45.0,15.8,0,0
20,56.0,19.1,0,0
21,38.0,24.5,0,0
22,54.0,23.8,0,0
23,55.0,20.9,0,0
24,49.0,21.5,0,0
25,45.0,23.2,0,0
26,41.0,26.6,0,0
27,56.0,24.6,0,0
28,49.0,21.6,0,1
29,78.0,12.5,1,0
30,48.0,16.9,0,0
31,46.0,19.7,0,0
32,44.0,14.9,0,0
33,43.0,17.1,0,0
34,41.0,20.7,0,0
35,41.0,22.4,0,0
36,33.0,23.1,0,0
37,34.0,25.2,0,0
38,43.0,17.9,0,0
39,38.0,17.2,0,0
40,36.0,20.2,0,0
41,52.0,22.8,0,0
42,48.0,24.2,0,0
43,51.0,24.3,0,0
44,40.0,25.6,0,0
45,34.0,27.6,0,0
46,46.0,18.0,0,0
47,35.0,16.0,0,0
48,34.0,20.9,0,0
49,39.0,22.0,0,0
50,36.0,26.8,0,0
51,48.0,27.3,0,0
52,60.0,26.1,0,1
53,43.0,22.8,1,0
54,41.0,23.3,0,0
55,44.0,21.2,0,0
56,48.0,23.4,0,0
57,48.0,25.8,0,0
58,45.0,28.2,0,0
59,38.0,29.0,0,0
60,37.0,29.2,0,0
61,33.0,29.9,0,0
62,27.0,32.4,0,0
63,32.0,28.8,0,0
64,51.0,27.2,0,0
65,53.0,25.5,0,0
66,48.0,26.5,0,0
67,39.0,28.7,0,0
68,36.0,29.6,0,0
69,20.0,34.5,0,0
70,66.0,18.7,0,0
71,50.0,17.4,0,0
72,45.0,16.7,0,0
73,58.0,17.0,0,1
74,41.0,18.0,1,0
75,37.0,18.3,0,0
76,50.0,19.2,0,0
77,43.0,21.4,0,0
78,46.0,18.0,0,0
79,44.0,22.1,0,0
80,53.0,21.0,0,0
81,45.0,21.5,0,0
82,63.0,19.3,0,0
83,49.0,20.9,0,0
84,48.0,20.7,0,0
85,54.0,18.7,0,0
86,49.0,15.0,0,0
87,43.0,20.7,0,0
88,53.0,20.0,0,0
89,44.0,22.2,0,0
90,53.0,17.3,0,0
91,53.0,18.0,0,0
92,58.0,23.0,0,0
93,57.0,15.6,0,0
94,60.0,13.9,0,0
95,52.0,12.6,0,0
96,58.0,13.3,0,0
97,54.0,17.6,0,0
98,49.0,18.6,0,0
99,51.0,20.1,0,1
100,57.0,21.5,1,0
101,52.0,22.2,0,1
102,82.0,19.0,1,1
103,82.0,19.9,1,1
104,62.0,12.7,1,0
105,78.0,12.2,0,0
106,78.0,12.1,0,0
107,76.0,14.7,0,0
108,56.0,14.7,0,0
109,50.0,17.4,0,0
110,47.0,18.8,0,0
111,56.0,18.1,0,0
112,63.0,18.8,0,0
113,62.0,15.4,0,0
114,69.0,18.3,0,1
115,87.0,16.2,1,0
116,63.0,16.5,0,0
117,60.0,14.0,0,0
118,60.0,16.0,0,0
119,57.0,17.2,0,0
120,61.0,17.1,0,0
121,59.0,16.6,0,0
122,59.0,18.4,0,1
123,92.0,19.0,1,1
124,60.0,13.9,1,0
125,72.0,12.9,0,0
126,58.0,13.8,0,0
127,55.0,13.3,0,0
128,60.0,13.8,0,0
129,67.0,15.1,0,0
130,59.0,16.4,0,1
131,75.0,18.0,1,1
132,88.0,15.4,1,0
133,65.0,16.1,0,0
134,68.0,16.2,0,0
135,44.0,20.5,0,0
136,65.0,9.6,0,0
137,59.0,12.6,0,0
138,73.0,12.4,0,0
139,54.0,18.0,0,0
140,58.0,14.1,0,0
141,68.0,12.2,0,0
142,73.0,11.2,0,0
143,68.0,12.9,0,0
144,74.0,14.9,0,1
145,83.0,13.3,1,1
146,77.0,9.5,1,1
147,82.0,7.6,1,1
148,83.0,10.1,1,0
149,62.0,8.2,0,0
150,70.0,7.9,0,0
151,77.0,7.2,0,0
152,81.0,10.1,0,0
153,75.0,10.6,0,0
154,86.0,9.6,0,0
155,71.0,10.3,0,0
156,82.0,10.0,0,0
157,86.0,8.3,0,0
158,68.0,11.0,0,0
159,78.0,9.4,0,0
160,69.0,11.7,0,0
161,89.0,8.5,0,0
162,81.0,9.1,0,0
163,86.0,7.5,0,0
164,77.0,10.3,0,0
165,82.0,12.9,0,1
166,82.0,13.0,1,0
167,83.0,7.0,0,0
168,82.0,8.8,0,0
169,87.0,7.4,0,0
170,75.0,12.4,0,0
171,81.0,9.4,0,0
172,75.0,10.1,0,0
173,71.0,11.9,0,0
174,69.0,12.5,0,0
175,77.0,11.6,0,1
176,97.0,13.6,1,0
177,99.0,10.1,0,0
178,91.0,7.1,0,0
179,67.0,10.2,0,0
180,65.0,9.6,0,0
181,73.0,8.0,0,1
182,88.0,9.2,1,1
183,78.0,10.6,1,1
184,85.0,12.4,1,1
185,99.0,11.3,1,0
186,86.0,7.6,0,0
187,99.0,4.7,0,1
188,93.0,10.0,1,1
189,88.0,10.3,1,1
190,92.0,6.8,1,1
191,77.0,4.9,1,0
192,84.0,2.2,0,0
193,99.0,1.9,0,0
194,86.0,5.9,0,0
195,82.0,6.5,0,0
196,99.0,5.4,0,0
197,83.0,6.6,0,0
198,94.0,5.6,0,0
199,99.0,4.7,0,0
200,93.0,5.4,0,0
201,85.0,7.0,0,1
202,99.0,8.3,1,1
203,99.0,9.1,1,0
204,99.0,8.3,0,1
205,81.0,9.6,1,0
206,99.0,6.9,0,1
207,99.0,8.4,1,0
208,79.0,10.3,0,1
209,98.0,9.8,1,1
210,91.0,10.1,1,1
211,78.0,13.5,1,1
212,85.0,9.5,1,1
213,88.0,8.8,1,1
214,82.0,7.8,1,0
215,91.0,7.9,0,0
216,80.0,7.0,0,0
217,99.0,2.3,0,0
218,91.0,2.4,0,0
219,84.0,3.3,0,0
220,84.0,3.8,0,0
221,93.0,4.8,0,0
222,96.0,8.1,0,0
223,77.0,11.6,0,0
224,82.0,9.0,0,1
225,94.0,7.5,1,1
226,99.0,5.9,1,0
227,95.0,3.8,0,0
228,88.0,4.5,0,0
229,98.0,3.2,0,0
230,94.0,7.8,0,0
231,95.0,7.1,0,0
232,87.0,6.6,0,0
233,74.0,11.3,0,1
234,83.0,8.5,1,0
235,87.0,3.7,0,0
236,95.0,2.5,0,0
237,85.0,4.4,0,0
238,99.0,4.2,0,1
239,89.0,8.8,1,1
240,98.0,9.3,1,0
241,99.0,6.5,0,1
242,81.0,11.6,1,0
243,99.0,8.9,0,0
244,94.0,10.5,0,0
245,79.0,9.9,0,0
246,91.0,5.7,0,1
247,98.0,8.9,1,0
248,99.0,8.0,0,0
249,79.0,9.8,0,1
250,78.0,4.4,1,0
251,91.0,2.0,0,0
252,72.0,5.9,0,0
253,62.0,14.8,0,1
254,99.0,9.1,1,0
255,94.0,9.4,0,1
256,99.0,9.0,1,0
257,99.0,6.7,0,1
258,79.0,11.0,1,1
259,73.0,9.8,1,0
260,85.0,6.0,0,0
261,99.0,5.5,0,0
262,78.0,11.1,0,0
263,72.0,13.3,0,1
264,90.0,5.8,1,1
265,94.0,10.8,1,1
266,68.0,13.2,1,1
267,75.0,7.7,1,1
268,83.0,6.9,1,0
269,72.0,8.9,0,0
270,87.0,7.2,0,1
271,81.0,13.0,1,1
272,77.0,6.7,1,1
273,90.0,9.7,1,1
274,96.0,9.7,1,0
275,82.0,7.0,0,0
276,80.0,10.2,0,1
277,85.0,12.5,1,0
278,81.0,8.6,0,0
279,79.0,8.3,0,0
280,73.0,13.9,0,0
281,90.0,9.4,0,0
282,82.0,9.5,0,0
285,70.0,13.2,0,0
286,44.0,17.3,0,0
287,60.0,10.9,0,0
288,68.0,8.1,0,0
289,74.0,11.2,0,0
290,76.0,12.9,0,1
291,75.0,12.9,1,0
292,98.0,10.2,0,0
293,79.0,14.3,0,0
294,73.0,11.5,0,1
295,77.0,15.5,1,1
296,82.0,13.1,1,1
297,72.0,12.6,1,0
298,60.0,15.2,0,1
299,79.0,7.9,1,1
300,78.0,6.7,1,0
301,79.0,9.2,0,0
302,73.0,9.4,0,0
303,75.0,11.3,0,0
304,76.0,12.9,0,0
305,68.0,16.1,0,1
306,87.0,9.6,1,1
307,85.0,12.6,1,0
308,85.0,12.5,0,0
309,85.0,8.8,0,1
310,90.0,7.1,1,0
311,65.0,7.8,0,0
312,63.0,11.8,0,0
313,55.0,11.2,0,0
314,68.0,11.3,0,0
315,88.0,11.0,0,1
316,70.0,10.8,1,1
317,88.0,10.3,1,1
318,79.0,11.1,1,1
319,77.0,8.8,1,0
320,83.0,10.9,0,0
321,72.0,12.1,0,0
322,78.0,12.2,0,0
323,71.0,13.4,0,0
324,73.0,15.4,0,0
325,67.0,15.6,0,0
326,70.0,14.8,0,0
327,68.0,14.7,0,0
328,68.0,14.4,0,0
329,52.0,14.7,0,0
330,64.0,12.9,0,0
331,67.0,17.9,0,0
332,65.0,19.1,0,0
333,75.0,19.1,0,0
334,65.0,21.4,0,0
335,66.0,23.1,0,0
336,66.0,23.9,0,0
337,46.0,24.2,0,0
338,59.0,15.0,0,0
339,67.0,14.0,0,0
340,55.0,17.5,0,0
341,57.0,19.2,0,0
342,55.0,21.0,0,0
343,48.0,22.1,0,0
344,49.0,23.3,0,0
345,43.0,24.5,0,0
346,49.0,24.7,0,0
347,42.0,23.2,0,0
348,55.0,21.7,0,0
349,57.0,23.9,0,0
350,46.0,24.1,0,0
351,38.0,19.5,0,0
352,53.0,21.0,0,0
353,29.0,27.8,0,0
354,45.0,24.7,0,1
355,95.0,19.7,1,1
356,98.0,19.2,1,0
357,63.0,14.4,0,0
358,60.0,18.1,0,0
359,60.0,22.0,0,0
360,48.0,28.2,0,1
361,82.0,17.6,1,0
362,48.0,18.8,0,1
363,94.0,13.5,1,1
364,82.0,15.9,1,0
365,43.0,16.6,0,0
366,48.0,16.8,0,0
367,57.0,20.3,0,0
368,42.0,19.5,0,0
369,44.0,17.6,0,0
370,58.0,18.9,0,0
371,47.0,21.2,0,0
372,58.0,21.0,0,1
373,64.0,15.7,1,0
374,52.0,19.7,0,0
375,62.0,12.8,0,0
376,52.0,17.0,0,0
377,52.0,19.5,0,0
378,48.0,21.8,0,0
379,51.0,22.1,0,0
380,45.0,23.8,0,0
381,40.0,24.2,0,1
382,60.0,16.0,1,0
383,45.0,19.1,0,0
384,52.0,20.8,0,0
385,48.0,21.0,0,0
386,44.0,23.1,0,0
387,41.0,27.2,0,0
388,21.0,32.1,0,1
389,84.0,20.9,1,0
390,56.0,20.0,0,0
391,61.0,22.1,0,0
392,58.0,24.4,0,0
393,46.0,25.6,0,0
394,41.0,26.0,0,0
395,41.0,28.1,0,1
396,70.0,23.4,1,1
397,88.0,20.6,1,0
398,57.0,18.0,0,0
399,55.0,21.3,0,0
400,46.0,23.3,0,0
401,49.0,24.3,0,0
402,45.0,22.8,0,0
403,50.0,24.6,0,0
404,48.0,26.4,0,0
405,38.0,27.8,0,0
406,39.0,29.1,0,0
407,48.0,29.4,0,0
408,56.0,25.1,0,1
409,55.0,20.9,1,0
410,51.0,24.2,0,0
411,50.0,27.7,0,0
412,51.0,18.0,0,0
413,44.0,14.4,0,0
414,47.0,15.0,0,0
415,52.0,18.5,0,0
416,39.0,22.4,0,0
417,40.0,26.0,0,0
418,43.0,25.0,0,0
419,50.0,21.5,0,0
420,47.0,22.8,0,0
421,35.0,22.9,0,0
422,45.0,24.2,0,0
423,51.0,23.1,0,0
424,46.0,23.1,0,0
425,48.0,23.5,0,0
426,39.0,26.6,0,0
427,46.0,25.2,0,1
428,61.0,22.9,1,0
429,36.0,24.3,0,0
430,51.0,26.3,0,1
431,83.0,22.1,1,1
432,55.0,22.6,1,0
433,53.0,23.2,0,0
434,66.0,25.9,0,0
439,82.0,21.2,0,0
440,80.0,21.7,0,0
441,76.0,19.7,0,0
442,48.0,20.6,0,0
445,54.0,20.8,0,0
446,70.0,19.6,0,0
447,71.0,23.8,0,1
448,83.0,21.3,1,0
449,56.0,15.2,0,0
450,57.0,17.9,0,0
451,61.0,19.5,0,0
454,84.0,19.9,1,0
457,61.0,17.8,0,0
458,70.0,20.1,0,0
459,74.0,20.9,0,1
460,87.0,22.3,1,1
461,89.0,19.0,1,1
462,79.0,19.8,1,1
463,90.0,16.3,1,0
466,72.0,14.2,0,0
467,80.0,15.0,0,0
468,75.0,15.6,0,0
469,72.0,16.2,0,0
470,73.0,16.1,0,0
471,76.0,17.6,0,0
472,73.0,18.9,0,0
473,79.0,17.7,0,0
474,77.0,19.4,0,0
475,78.0,20.2,0,0
476,69.0,13.0,0,0
477,79.0,12.1,0,0
478,81.0,13.3,0,0
479,75.0,15.4,0,0
480,80.0,15.8,0,0
481,73.0,18.3,0,0
482,79.0,19.4,0,1
483,94.0,18.2,1,0
484,91.0,17.5,0,0
485,71.0,16.5,0,0
486,82.0,14.6,0,0
487,78.0,15.3,0,0
488,71.0,15.5,0,0
489,58.0,18.3,0,0
490,76.0,15.5,0,0
491,75.0,15.7,0,1
492,87.0,19.2,1,1
493,84.0,17.5,1,0
494,73.0,15.7,0,0
495,84.0,16.7,0,1
496,86.0,15.9,1,0
497,71.0,11.0,0,0
498,82.0,10.1,0,0
499,81.0,12.5,0,0
500,79.0,13.3,0,0
501,79.0,13.6,0,0
502,74.0,15.8,0,0
503,67.0,16.8,0,0
504,81.0,14.6,0,0
505,79.0,16.4,0,0
506,74.0,18.5,0,0
507,74.0,17.8,0,0
508,89.0,15.4,0,1
509,95.0,17.1,1,1
510,72.0,14.4,1,0
511,78.0,10.4,0,0
512,84.0,9.7,0,1
513,84.0,12.4,1,0
514,79.0,14.3,0,0
515,99.0,9.4,0,0
516,84.0,11.7,0,0
517,97.0,10.0,0,0
518,83.0,12.7,0,0
519,92.0,11.9,0,1
520,84.0,9.3,1,0
521,78.0,10.8,0,0
522,89.0,10.2,0,0
523,84.0,13.0,0,0
524,99.0,9.2,0,0
525,99.0,8.1,0,0
526,77.0,10.7,0,0
527,81.0,6.0,0,0
528,79.0,6.4,0,0
529,99.0,5.7,0,0
530,83.0,8.1,0,0
531,84.0,8.2,0,0
532,92.0,9.2,0,0
533,90.0,7.4,0,0
534,86.0,6.6,0,0
535,88.0,6.8,0,0
536,92.0,7.6,0,0
537,76.0,6.3,0,0
538,76.0,6.6,0,0
539,74.0,10.3,0,1
540,88.0,13.5,1,1
541,71.0,14.9,1,0
542,92.0,9.7,0,0
543,96.0,9.4,0,1
544,99.0,12.1,1,1
545,99.0,10.8,1,0
546,54.0,15.0,0,0
547,89.0,8.3,0,0
548,93.0,8.6,0,0
549,79.0,8.9,0,0
550,82.0,8.7,0,0
551,99.0,5.1,0,0
552,97.0,6.2,0,0
553,80.0,4.2,0,0
554,89.0,5.3,0,0
555,81.0,7.8,0,1
556,85.0,7.2,1,0
557,82.0,9.2,0,0
558,95.0,3.3,0,0
559,83.0,4.1,0,0
560,85.0,2.2,0,0
561,92.0,3.4,0,0
562,91.0,7.4,0,1
563,82.0,13.0,1,1
564,88.0,6.9,1,1
565,95.0,10.3,1,0
566,98.0,7.7,0,0
567,99.0,7.4,0,0
568,94.0,6.1,0,0
569,89.0,7.2,0,0
570,85.0,8.3,0,0
571,83.0,12.1,0,1
572,86.0,7.6,1,0
573,99.0,2.8,0,0
574,99.0,2.3,0,0
575,71.0,6.5,0,0
576,81.0,6.3,0,1
577,99.0,5.5,1,0
578,99.0,3.2,0,0
579,99.0,3.7,0,0
580,99.0,3.1,0,0
581,99.0,2.4,0,1
582,94.0,6.7,1,0
583,99.0,3.0,0,0
584,99.0,4.1,0,0
585,90.0,4.8,0,0
586,96.0,5.0,0,1
587,99.0,11.8,1,0
588,99.0,5.9,0,0
589,98.0,6.2,0,1
590,82.0,8.5,1,1
591,85.0,6.9,1,0
592,99.0,2.9,0,0
593,99.0,2.8,0,0
594,96.0,5.2,0,1
595,99.0,7.7,1,0
596,99.0,3.1,0,0
597,99.0,2.9,0,0
598,89.0,4.0,0,0
599,99.0,4.1,0,0
600,99.0,4.5,0,0
601,99.0,4.5,0,0
602,99.0,3.7,0,0
603,85.0,4.0,0,0
604,80.0,5.8,0,1
605,99.0,10.3,1,0
606,91.0,11.1,0,1
607,100.0,11.1,1,1
608,86.0,9.3,1,1
609,85.0,7.8,1,0
610,86.0,6.4,0,0
613,99.0,3.2,0,0
614,83.0,4.6,0,0
615,86.0,4.3,0,0
616,79.0,6.0,0,1
617,86.0,9.7,1,1
618,96.0,7.7,1,1
619,91.0,9.2,1,0
620,99.0,6.5,0,0
621,85.0,8.9,0,1
622,83.0,10.7,1,1
623,94.0,7.7,1,1
624,87.0,4.5,1,0
625,92.0,5.0,0,1
626,85.0,11.6,1,1
627,82.0,6.4,1,0
628,86.0,7.0,0,0
629,87.0,7.6,0,0
630,91.0,6.4,0,1
631,90.0,9.4,1,1
632,87.0,5.4,1,1
633,84.0,7.3,1,1
634,75.0,9.0,1,0
635,99.0,4.1,0,0
636,85.0,7.1,0,0
637,84.0,7.4,0,0
638,89.0,7.2,0,0
639,86.0,11.2,0,0
640,92.0,10.9,0,0
641,65.0,10.2,0,1
642,96.0,15.1,1,1
643,81.0,10.6,1,1
644,89.0,9.5,1,1
645,83.0,8.0,1,0
646,74.0,8.8,0,0
647,76.0,11.1,0,1
648,91.0,10.9,1,1
649,88.0,8.4,1,0
650,84.0,10.2,0,0
651,88.0,11.4,0,0
652,76.0,12.2,0,0
653,68.0,9.5,0,0
654,64.0,10.2,0,0
655,76.0,8.8,0,0
656,67.0,9.8,0,0
657,90.0,9.0,0,0
658,79.0,10.0,0,0
659,81.0,11.9,0,0
660,70.0,14.7,0,0
661,76.0,12.1,0,0
662,96.0,9.0,0,0
663,84.0,12.1,0,0
664,75.0,13.2,0,0
665,83.0,11.9,0,0
666,65.0,10.4,0,0
667,66.0,9.4,0,0
668,59.0,9.5,0,0
669,71.0,9.9,0,0
670,61.0,13.7,0,0
671,72.0,13.4,0,0
672,85.0,13.2,0,0
673,78.0,16.3,0,0
674,80.0,17.4,0,1
675,64.0,10.0,1,0
676,59.0,10.9,0,0
677,83.0,9.9,0,0
678,71.0,14.8,0,0
679,60.0,15.4,0,0
680,91.0,14.7,0,1
681,92.0,16.2,1,1
682,92.0,14.0,1,1
683,93.0,18.5,1,1
684,72.0,6.4,1,0
685,77.0,9.5,0,0
686,74.0,12.5,0,0
687,78.0,10.9,0,0
688,80.0,11.9,0,0
689,75.0,13.5,0,0
690,77.0,14.9,0,0
691,81.0,17.4,0,1
692,65.0,14.2,1,0
693,77.0,14.6,0,0
694,80.0,14.8,0,1
695,81.0,15.6,1,0
696,73.0,15.0,0,0
697,70.0,17.1,0,1
698,95.0,17.6,1,1
699,78.0,15.5,1,1
700,79.0,12.5,1,0
701,73.0,12.1,0,0
702,63.0,14.4,0,0
703,61.0,13.3,0,0
704,53.0,15.0,0,0
705,59.0,14.4,0,0
706,73.0,15.9,0,1
707,71.0,19.4,1,0
708,69.0,18.4,0,0
709,76.0,21.5,0,0
710,73.0,20.6,0,0
711,60.0,24.4,0,0
712,63.0,24.4,0,1
713,93.0,19.2,1,1
714,84.0,16.7,1,0
715,56.0,15.8,0,0
716,65.0,15.6,0,0
717,68.0,16.0,0,0
718,56.0,17.1,0,0
719,63.0,18.3,0,0
720,70.0,20.0,0,0
721,59.0,22.0,0,0
722,49.0,23.2,0,0
723,46.0,24.0,0,0
724,47.0,23.9,0,1
725,92.0,18.5,1,1
726,77.0,20.6,1,1
727,86.0,18.5,1,1
728,69.0,16.6,1,1
729,69.0,17.4,1,1
730,72.0,19.6,1,0
731,70.0,21.3,0,1
732,71.0,21.3,1,1
733,65.0,22.5,1,0
734,63.0,23.1,0,0
735,63.0,23.3,0,0
736,50.0,25.5,0,1
737,82.0,21.4,1,1
738,85.0,20.5,1,0
739,59.0,19.1,0,0
740,59.0,15.6,0,0
741,54.0,17.7,0,0
742,65.0,17.0,0,0
743,67.0,18.6,0,0
744,57.0,24.3,0,0
745,72.0,17.6,0,0
746,62.0,17.7,0,0
747,64.0,16.9,0,1
748,71.0,15.0,1,1
749,79.0,10.8,1,1
750,68.0,14.3,1,0
751,71.0,16.6,0,0
752,62.0,19.8,0,0
753,47.0,20.6,0,0
754,60.0,23.2,0,0
755,75.0,22.2,0,0
756,57.0,16.3,0,0
757,49.0,15.1,0,0
758,57.0,21.9,0,0
759,55.0,21.7,0,0
760,55.0,23.3,0,0
761,46.0,26.8,0,0
762,45.0,25.1,0,0
763,56.0,20.2,0,0
764,53.0,19.9,0,0
765,57.0,22.0,0,0
766,48.0,21.4,0,0
767,51.0,23.4,0,0
768,66.0,22.9,0,0
769,55.0,26.7,0,1
770,68.0,24.1,1,1
771,81.0,22.5,1,1
772,66.0,25.5,1,1
773,86.0,24.4,1,1
774,61.0,24.5,1,1
775,83.0,22.3,1,0
776,71.0,23.8,0,0
777,70.0,21.6,0,0
778,64.0,17.9,0,0
779,70.0,19.1,0,0
780,63.0,21.4,0,0
781,60.0,24.9,0,0
782,60.0,25.3,0,0
783,53.0,24.6,0,0
784,68.0,22.2,0,0
785,60.0,21.1,0,0
786,63.0,25.1,0,0
787,60.0,19.8,0,0
788,56.0,20.6,0,0
789,59.0,21.5,0,0
790,68.0,23.0,0,0
791,56.0,25.3,0,0
792,57.0,27.2,0,0
793,77.0,25.4,0,1
794,74.0,25.8,1,1
795,80.0,24.8,1,1
796,97.0,22.5,1,1
797,81.0,14.7,1,0
798,58.0,14.5,0,0
799,66.0,18.5,0,0
800,66.0,18.7,0,0
801,79.0,19.8,0,1
802,98.0,20.4,1,1
803,88.0,19.6,1,0
804,73.0,20.6,0,0
805,57.0,19.4,0,0
806,69.0,20.5,0,0
807,80.0,20.7,0,1
808,90.0,19.9,1,0
809,68.0,22.0,0,1
810,91.0,22.1,1,1
811,80.0,19.4,1,0
812,62.0,13.6,0,0
813,53.0,15.0,0,0
814,66.0,16.8,0,0
815,76.0,18.9,0,0
816,75.0,19.2,0,0
817,70.0,19.6,0,0
818,87.0,20.4,0,1
819,85.0,20.4,1,0
820,82.0,16.0,0,0
821,67.0,13.0,0,0
822,77.0,13.4,0,0
823,79.0,13.2,0,0
824,58.0,15.6,0,0
